filepath,label,region,latitude,longitude,source,gbif_id,gbif_platform
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\gbif_dl\inaturalist\Acacia_dealbata\3773205554.jpeg,Acacia dealbata,Aveiro,40.891701,-8.226018,gbif_dl,3773205554,inaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\gbif_dl\inaturalist\Acacia_dealbata\3902374821.jpg,Acacia dealbata,Coimbra,40.0984,-8.232143,gbif_dl,3902374821,inaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\gbif_dl\inaturalist\Acacia_dealbata\3902936128.jpg,Acacia dealbata,Coimbra,40.138493,-8.158668,gbif_dl,3902936128,inaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\gbif_dl\inaturalist\Acacia_dealbata\4981980920.jpg,Acacia dealbata,Coimbra,40.112488,-8.305788,gbif_dl,4981980920,inaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\gbif_dl\inaturalist\Acacia_dealbata\6195774102.jpg,Acacia dealbata,Porto,41.20143,-8.550123,gbif_dl,6195774102,inaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\gbif_dl\inaturalist\Acacia_dealbata\3398866093.jpg,Acacia dealbata,Coimbra,40.108379,-8.217279,gbif_dl,3398866093,inaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\gbif_dl\inaturalist\Acacia_dealbata\2963845365.jpg,Acacia dealbata,Santarém,39.670023,-8.238071,gbif_dl,2963845365,inaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\gbif_dl\inaturalist\Acacia_dealbata\6130232285.jpg,Acacia dealbata,Viseu,41.128292,-7.734123,gbif_dl,6130232285,inaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\gbif_dl\inaturalist\Acacia_dealbata\4982386946.jpg,Acacia dealbata,Coimbra,40.119694,-8.304747,gbif_dl,4982386946,inaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\gbif_dl\inaturalist\Acacia_dealbata\5063584425.jpg,Acacia dealbata,Coimbra,40.152924,-8.264747,gbif_dl,5063584425,inaturalist
