filepath,label,region,latitude,longitude,source
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0000.jpg,Arundo donax,Lisboa,39.0355,-8.9776,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0001.jpg,Arundo donax,Lisboa,38.64515,-9.41942,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0002.jpg,Arundo donax,Lisboa,38.98901,-9.25852,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0003.jpg,Arundo donax,Lisboa,39.02149,-8.82755,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0004.jpg,Arundo donax,Madeira,32.67241,-16.91581,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0005.jpg,Arundo donax,Lisboa,38.93127,-8.95183,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0006.jpg,Arundo donax,Lisboa,38.62995,-9.05152,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0007.jpg,Arundo donax,Lisboa,38.46332,-8.90871,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0008.jpg,Arundo donax,Lisboa,38.44832,-9.40697,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0009.jpg,Arundo donax,Setúbal,38.58808,-8.94962,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0010.jpg,Arundo donax,Lisboa,38.58404,-9.42606,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0011.jpg,Arundo donax,Porto,41.32237,-8.85951,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0012.jpg,Arundo donax,Braga,41.58334,-8.36683,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0013.jpg,Arundo donax,Porto,41.34559,-8.35533,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0014.jpg,Arundo donax,Setúbal,38.50251,-8.94712,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0015.jpg,Arundo donax,Lisboa,38.51568,-8.9458,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0016.jpg,Arundo donax,Lisboa,38.95259,-9.05687,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0017.jpg,Arundo donax,Lisboa,38.60997,-9.34272,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0018.jpg,Arundo donax,Lisboa,38.91725,-9.43807,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0019.jpg,Arundo donax,Lisboa,38.53473,-9.22891,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0020.jpg,Arundo donax,Porto,41.19746,-8.792,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0021.jpg,Arundo donax,Lisboa,38.84002,-9.48724,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0022.jpg,Arundo donax,Porto,40.96503,-8.32608,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0023.jpg,Arundo donax,Faro,37.06543,-7.97819,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0024.jpg,Arundo donax,Porto,41.38633,-8.90825,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0025.jpg,Arundo donax,Porto,41.24966,-8.42385,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0026.jpg,Arundo donax,Faro,37.0967,-7.98771,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0027.jpg,Arundo donax,Lisboa,38.39427,-9.13338,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0028.jpg,Arundo donax,Porto,40.95146,-8.35554,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Arundo_donax\Arundo_donax_0029.jpg,Arundo donax,Setúbal,38.52291,-8.87421,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0000.jpg,Phragmites australis,Madeira,32.6477,-16.90896,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0001.jpg,Phragmites australis,Porto,40.8861,-8.83748,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0002.jpg,Phragmites australis,Porto,41.28839,-8.57518,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0003.jpg,Phragmites australis,Madeira,32.60298,-16.94027,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0004.jpg,Phragmites australis,Setúbal,38.46401,-8.89516,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0005.jpg,Phragmites australis,Braga,41.51143,-8.42133,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0006.jpg,Phragmites australis,Porto,41.16261,-8.81318,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0007.jpg,Phragmites australis,Lisboa,38.42341,-9.34268,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0008.jpg,Phragmites australis,Setúbal,38.4725,-8.91317,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0009.jpg,Phragmites australis,Lisboa,38.64531,-8.79905,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0010.jpg,Phragmites australis,Lisboa,38.44617,-9.4563,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0011.jpg,Phragmites australis,Porto,41.33062,-8.51625,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0012.jpg,Phragmites australis,Lisboa,38.44958,-9.40354,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0013.jpg,Phragmites australis,Porto,40.85365,-8.41944,synthetic
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\synthetic\Phragmites_australis\Phragmites_australis_0014.jpg,Phragmites australis,Lisboa,38.50299,-8.85551,synthetic
